Банк;Заголовок;Оценка;Текст;Дата
Альфа-Банк;Невозможно получить доступ к р/с при смене директора уже неделю!!!;None;"ООО ""Алитера-М""ИНН 772 443 95 0022.01 подали документы в связи со сменой директора в Альфабанк в БЦ ""Румянцево"" (Москва). Директор лично подавала.Приложили документы заверенные нотариуосм (решение единственного участника и тд), которые были поданы в ФНС и по которым были внесены изменения в ЕГРЮЛ о новом директоре.В понедельник получаем информацию, что нам отказали, так как решение не подходит. Как?! Его признало государство в лице ФНС и внесло изменения в ЕГРЮЛ!Документы переделывали, переподали. Отказ. Потом в третий раз исполнили указания операционаста банка, снова подали.Ждоли ответ - тишина, пришлось представителю идти в банк.В среду сказали что есть еще ошибка- они не могут куда то в системе ввести наш имейл - не подходит. ПРи этом по посьбе представителя банка мы 2 раза имейлом отправляли документы!Имейлом очень редко мы не пользуемся в связи с тем, что далеко от интернета. В документах также указан тел и другие данные.В итога директору приходится из больницы в Краснодаре приезжать и переподавать заявление.Менеджер приняла, но в ответ - тишина. Информации нет о статусу, никому не дозвониться и ничего узнать не возможно. В итоге - у нас сорваны платежи по налогам, зарплата и производственный цикл, так как нет доступа к р/с для платежей. А банк- как в трубу пытаешься кричать, не ответа ни информации. Менеджеры в отделении говорят - ""ничего не знаем, информацией не владеем"".. Помогите спасти ситуацию!!"; 29.01.2021 12:07
Кредит Европа Банк;Условия по дебетовой карте;5;Добрый день. В офис на московском проспекте я обратилась за консультации. Меня интересовали Условия по вкладу, по которому банк предлагает 5,25 %. Несмотря на то что в офисе были клиенты сотрудница Мария, увидев мою растерянность, сразу уточнила с каким вопросом я пришла. Также рассказала про вклад. Меня смутило что капитализации процентов по данному вкладу не предусмотрено. Ну тогда Мария предложила оформить карту по которой начисляют процент на остаток. Так как я пришла просто за консультацией ничего оформлять сразу я не стала. Но теперь я знаю что в личном кабинете Я могу открыть карту digital Самостоятельно. Благодарю сотрудницу за внимание к клиентам. Банк предлагает высокую ставку и хорошие условия по вкладам.; 29.01.2021 12:07
Россельхозбанк;Отлично проведенная сделка!;5;Мир держится на неравнодушных,отзывчивых людях.Спасибо большое за профессиональную,безупречную работу Горшкову Сергею сотруднику банка АО Россельхозбанк (отделение на 1-ом Красногвардейском проезде, д. 7, стр.1.) Это уже второй совместный проект с данным отделением банка и уже который раз Сергей приходит на помощь. Спасибо за совместную работу и усердный труд. Корректен,подтянут,улыбчив. При этом профессионально,компетентно  и без проволочек решал вопросы по сделке. Лучшая похвала для специалиста-это последующие рекомендации.С удовольствием будем рекомендовать Сергея и данное отделение банка в котором он трудится. Также хочется выразить слова благодарности Филатовой Татьяне Александровне за подготовку таких замечательных сотрудников, ведь отличный специалист - это лицо всего отделения! Нам очень приятно, что руководство данного отделения готовит такие Кадры.; 29.01.2021 12:05
Кредит Европа Банк;Условия по дебетовой карте;5;Добрый день. В офис на московском проспекте я обратилась за консультации. Меня интересовали Условия по вкладу, по которому банк предлагает 5,25 %. Несмотря на то что в офисе были клиенты сотрудница Мария, увидев мою растерянность, сразу уточнила с каким вопросом я пришла. Также рассказала про вклад. Меня смутило что капитализации процентов по данному вкладу не предусмотрено. Ну тогда Мария предложила оформить карту по которой начисляют процент на остаток. Так как я пришла просто за консультацией ничего оформлять сразу я не стала. Но теперь я знаю что в личном кабинете Я могу открыть карту digital Самостоятельно. Благодарю сотрудницу за внимание к клиентам. Банк предлагает высокую ставку и хорошие условия по вкладам.; 29.01.2021 12:03
Альфа-Банк;Банк все хуже и хуже;1;Предыдущая описываемая здесь ситуация, со сменой паспорта и блокировкой в день рождения,тогда разрешилась только указом президента о продлении срока действия паспорта(во время начала ковида). Ситуация продолжилась при попытке обновить данные паспорта.  Предоставил скан паспорта через интернет банк. На сканах указал что копия предоставлена альфа банку. Надпись не закрывала никаких надписей,номеров и других значимых элементов. Пришел отказ в принятии. Я предложил приехать в банк и показать паспорт в живую,и или оставить им те копии что присылал,либо сделать новые,но с вкладкой в сканер надписи,что копия альфа банку. Отказ!  Что наводит на подозрение,о реальности утечки/торговли данными. Иначе,что еще может быть причиной? Паспорт новый,желания раздавать направо налево банкам нет. Один из банков буквально за месяц,сделал себе копию,именно с такой вкладкой-вообще без вопросов! Принял решение закрыть счет. Спросил как. Прямо в приложении можно. Написал в приложение,подписал,получил смс,подтвердил.  ОТКАЗ. Принесите паспорт для сканирования. Нет слов. Планирую приехать в отделение,с заявлением о запрете использовать паспортные данные,и с вызовом полиции на место,в случае отказа закрыть счет,или при предъявлении требования дать отсканировать паспорт. Банк показал себя за время пользования,не клиенто- ориентированным. Почти никакие вопросы невозможно решить. Все звонки сводятся к пустым разговорам,и пожеланиям всего хорошего. Не рекомендую банк никому под работу в бизнесе. Как частное лицо никогда не работал.; 29.01.2021 12:03
Россельхозбанк;Отлично проведенная сделка!;5;Мир держится на неравнодушных,отзывчивых людях.Спасибо большое за профессиональную,безупречную работу Горшкову Сергею сотруднику банка АО Россельхозбанк (отделение на 1-ом Красногвардейском проезде, д. 7, стр.1.) Это уже второй совместный проект с данным отделением банка и уже который раз Сергей приходит на помощь. Спасибо за совместную работу и усердный труд. Корректен,подтянут,улыбчив. При этом профессионально,компетентно  и без проволочек решал вопросы по сделке. Лучшая похвала для специалиста-это последующие рекомендации.С удовольствием будем рекомендовать Сергея и данное отделение банка в котором он трудится. Также хочется выразить слова благодарности Филатовой Татьяне Александровне за подготовку таких замечательных сотрудников, ведь отличный специалист - это лицо всего отделения! Нам очень приятно, что руководство данного отделения готовит такие Кадры.; 29.01.2021 12:01
Тинькофф Банк;Благодарность;5;"Пользуюсь Услугами Банка Тинькофф очень давно. По сравнению с другими Кредитными Организациями Тинькофф более оперативнее и четкость во всех аспектах. Видно что компания заинтересованна в своих клиентах и всегда придел на помощь. Сегодня получил карту Кредитную S7 World Tinkoff. Впечатления только хорошее . Банк заботится о здоровье своих сотрудников и клиентах. Спасибо специалисту большое. За оперативность и вежливость. Редко когда встретишь позитив и желание помочь. за что СПАСИБО:1. Удобно выбрать дату; Время и место получение услуги.2. Всегда на связи и везде.3. Высококлассные специалисты на всех этапах обслуживания4. Удобное приложение.И конечно же Сервис. Ведь только четкость и забота о клиенте даёт мне 100% уверенность что с этой кредитной организацией Я до конца) СПАСИБО Тинькофф за твою заботу!"; 29.01.2021 12:00
Совкомбанк;Лебедянь;2;"Добрый день.Ставлю банку Совкомбанк -2.Прошел 3 этапа услуги ""Кредитный доктор"" . Все этапы без просрочек. Дали карту ""Халва"" пользовался и пользуюсь пока что достаточно активно. Установили лимит по ней. Но про прохождении всех этапов программы ""Кредитный доктор""  подал заявку - получил временный отказ. Предоставил справки о закрытии кредитных договоров в МФО. И Итог: ОТКАЗ.  Делал обращение в банк (№76560032). Уважаемый Совкомбанк - вы не цените своих клиентов!!! Я вам повысил на один бал оценку, так как установили лимит на халве. Неужели если вы не можете выдать мне одобрить кредит в 100 тыс. руб. - не можете предложить другие программы кредитования. ... Вывод: в ближайшее время буду погашать активно Халву и соответственно выводить оборот из вашего банка. Так Вы теряете своих клиентов которые платят и ценят Вас."; 29.01.2021 11:55
Банк Уралсиб;"Ложная ""поддержка""";1;"Так озаглавил отзыв только потому, что у службы поддержки (колл-центр) по моему мнению основная задача ""слить"" клиента. Любым способом. Соврав что угодно. А дальше или клиент смирится или все рассосется.Теперь к делу: имею в работе с банком Уралсиб 2 обращения: К-1-27538164881 и К-1-27683505698Какого труда мне составило заставить сотрудников КЦ зарегистрировать эти обращения! Вначале я верил, когда при звонке ""специалист"" КЦ говорил что обращение зафиксировано и со мной свяжутся. При звонке через несколько дней другой сотрудник говорил что нет никакого обращения и давайте его создадим. И так бесконечно. Только через скандал по телефону удалось зарегистрировать обращения и получить их номера.Уважаемые сотрудники Уралсиба, мониторящие отзывы, вы легко можете поднять мои звонки по номеру телефона.По обращению К-1-27683505698 ситуация следующая: 23.01.2021 был возврат денежных средств из магазина. Эти деньги я вижу в выписке по карте, но изменения баланса по карте не произошло. Так и ранее бывало - проходила какая-то авторизация и через 1-2 дня баланс менялся и деньги становились доступны. На сегодняшний день прошло 6 дней и деньги мне не доступны и на карту не поступили.Но самое интересное как это объясняет КЦ - легенд море, бреда целый океан. Одна бырышня сказала что все она видит и деньги поступят вот-вот. Вторая сказала что я сам дурак и деньги уже поступили. Третья сказала что деньги вообще не списывались во время покупки и они не должны поступать. Четвертая сказала гениальную фразу Сбербанка - ""где открывали карту, туда и идите разбираться"". Пятая сегодня просто бросила трубку, когда я поймал ее на вранье. Еще был бред про то, что смс по поступлению возвратов ДС не приходят. Я в шоке.Коллеги из Уралсиба, у вас нет единого алгоритма работы?Требую разобраться и вернуть деньги, поступившие согласно выписке 23.01.2021. Суммы 3643 руб. и 4413 руб.Если они поступили на карту, ткните меня носом на изменение баланса доступных средств. Если этого сделать не можете, верните деньги."; 29.01.2021 11:55
Почта Банк;Благодарность;5;Добрый день, обратился в отделение в г. Воскресенск, ул. Октябрьская, д 11, за размещением денежных средств на вклад, менеджер Елена Сузакова, помогла подобрать выгодный вклад, подсказала грамотное размещение средств и на вклад и на сберегательный счёт, чтобы получить максимальную выгоду, помогла решить вопрос с мобильным приложением, чтобы я имел возможность не выходя из дома пользоваться своими средствами. Я перевел пенсию на карту почта банка, и получаю повышенные проценты на свою пенсионную карту. Елена соответствует званию лучший сотрудник по сервису.; 29.01.2021 11:53
Альфа-Банк;Очень жаль, но пришло время прощаться...;1;"По моей карте, которая привязана к ""скрытому"" з/п счету произошло двойное списание(траназакция в выписке одинаковая, с одинаковым кодом авторизации)оплаты за покупку авиабилетов на сумму 25 433,00 рубля(это произошло 27.01,оплата билетов была 24.01, фактическое списание было 26.01 и второй раз 27.01).Прошуобратить внимание,что на сегодняшний день по счету образовался несанкционированный перерасход, просроченная задолженность и комиссии Банка, 28.01 МИНУС 24 258,71 руб. -  ВСЕ ЭТО ПО ДЕБЕТОВОМУ СЧЕТУ27.01 обратилась в ДО ""Брастилавский"" для оформления обращения, мнепредоставили заявление и сказали, что обращение они не принимают, необходимописать на 911@alfbank.ru. 27.01 направила туда заявление, приложила выписку сосчета, который ни один сотрудник ДО ""Братиславский"" не видит. Срокирассмотрения сотрудник ДО не знает, написала в чат , там мне ответили, чтоТОЛЬКО РЕГИСТРАЦИЯ обращения занимает 10 дней!Вчера 28.01, мне прислали ответ на обращение, что срок его рассмотрения до 50 дней!Вопросы:1.С каких пор по дебетовым счетам возникает перерасход на транзакций вне комиссийБанка и почему Банк пропускает операции в офердрафт по Дебету, это как? что за магия?2.Что произошло с сервисом Банка? В чате ответить на вопросы не могут, вотделении направляют на сайт Банка, далее по кругу возвращаюсь в Чат, где посути, пожимают плечамиНастоятельно прошу решить данный вопрос!!! почему из-за ошибки Банка я должна уходить минус, платить комиссии, не иметь возможность пользоваться счетом???p.s.Руководство Банка, прошу обратить внимание, на качество решаемых Банкомвопросов! Сервис очень сильно начал хромать. Раньше рекламировала Альфу, каклучший Банк в России, сегодня точно понимаю, что закрою счета"; 29.01.2021 11:52
Промсвязьбанк;Сбой при внесении денег через банкомат;None;22 января в 22:48 я вносил деньги через банкомат по адресу пр. Ленина, 31. Банкомат деньги забрал, чек не выдал и перешёл в режим сбоя. Я сразу позвонил по горячей линии, мне ответили, что поступление 80000 рублей видят, беспокоиться не надо, через сутки они будут зачислены на счёт. Этого до сих пор не произошло. 25 января я попытался внести очередную сумму через другой банкомат, забрав деньги, он выдал на экран: купюр - 0, рублей - 0. Нажав на возврат, мне удалось забрать деньги назад. Видео имеется. Работники отделения сказали, что они знают о проблеме внесения 2-х тысячных купюр. Непонятно только, почему об этом нет объявления. При всей очевидности ситуации, вопрос о зачислении, со слов банкиров, будет решаться в течение 30 дней. На письмо, принятое через ПСБ-онлайн 4 дня ответа нет. За прошедшие 7 лет обслуживания бывали ошибки банка, но они решались за 2-3 дня, сейчас же слышу равнодушное: ждите, срок не вышел.; 29.01.2021 11:52
ВТБ;Об ипотеке;2;"Собирался написать один отзыв, но он оказался больше 3600 символов. Потому разделю на несколько...1. Ипотека с которой все началось: Поданы заявки на ипотеку в ВТБ и СБЕР. Получено предварительное одобрение. Дальше долго ищем квартиру. И вот нашли новостройку, аккредитованную у ВТБ. Уточняем вопросы с риелтором. Риелтор бронирует квартиру, подает документы на ипотеку. И ВТБ, и СБЕР дают одобрение. Риелторам, по согласованию с застройщиком, удобнее ВТБ. Выбор сделан. Далее все проходит без моего участия, только риелтор информирует: застройщик подал документы, банк  согласовал, готовят документы и наконец 19.01 идемвсе подписывать. Утром 19.01 подписан договор с  застройщиком. Идем в банк на Лиговском 116-118, назначено на 13. В 12:55 звонок с номера 363-24-24. Отвечаю. Звонит менеджер вопросом где мы. Мы уже на месте. Подходит риелтор, подходит менеджер. Дают документы все рассказывают... Проверяем документы. К договору претензий не возникло. График платежей. Хм, погашение с 15 по 18. Почему ""с и по"" я не спросил, хотя сейчас это интересно. Тогда я спросил можно ли изменить дату погашения сейчас или позже? Ответ: ""после подписания уже нельзя будет, а сейчас... это займет очень много времени... часа 3 не меньше."" И фраза ""я вам звонила, вы трубку не взяли"". Вот тут у меня возникают вопросы:1. И давно изменение графика платежа вызывает такие сложности?2. Номер 363-24-24. Я вспомнил, что такой номер действительно числился не отвеченным. Залез в историю звонков и вижу:звонок 18.01 в 13:30 - 1 гудок, звонок 18.01 в 13:34 - 1 гудок. Вы ожидаете, что я, будучи на работе с телефоном в кармане услышу его, успею вытащить, отрыть чехол, и увидев незнакомый номер, без раздумий взять трубку? Я звонки с одним гудком считаю прозвоном и вношу в черный список. Ладно, ждать 3 часа или переносить подписание на завтра, желания не было. Соглашаюсь на указанный график. Документы подписаны. Звучит фраза - ""теперь переводите деньги на счет."" (первоначальный взнос). Спрашиваю, ""а какой счет?"". ""Ну вот этот, указанный в договоре"". Нахожу счет в договоре, залезаю в банк-клиент и … нет такого счета. Говорю — ""счета нет"". Менеджер - ""Как нет? Его система выдала. Раз выбрали, значит есть."". Показываю экран банк-клиента со всеми счетами и нет там такого счета. Менеджер уходит. Я нашел архив, залез и нашел этот счет в архиве!!! И главное статус счета: Заблокирован! Вернулась менеджер. ""Ваш счет заблокирован!"". Блеск. Далее примерный диалог: Я: ""Что делать?"".  Менеджер: ""Идите к приставам, пусть они снимают блокировку."". -""А если выбрать другой счет?"" -""Другого счета нет. Система дала этот."" -""А если открыть новый?"" -""Он тоже будет заблокирован.""Итог в этот день ипотека не состоялась.Вопросы: почему Ипотечному менеджеру, система дала выбрать в договор Заблокированный счет из Архива? Как счет прошел согласование? Я считал, что пакет счетов будет создан новый. Счет я в итоге разблокировал (об этом в следующем), но перед этим Открыл новый и он не заблокировался, ни в день открытия ни на следующий день. Так почему мне менеджер соврала? Лень попробовать? И последнее - я писал письмо менеджеру (почту дал риелтор), а ответа так и не получил. Видимо данный менеджер работает только с риелторами... После подписания заявления на аккредитив и перечисления денег оказалось, что договор на него я смогу получить только завтра... А реально все было сделано через час. В общем - не хочу в дальнейшем по вопросам Ипотеки и оформления документов на квартиру общаться с данным менеджером."; 29.01.2021 11:50
Альфа-Банк;100 дней без процентов;3;Произошла и со мной очень страшная ситуация.Зная какие бешенные проценты за просрочку, постоянно слежу, когда нужно вносите деньги. В этот раз в приложении стояла дата 28.01, проснувшись утром, я открываю приложение и вижу, вуаля! Проценты накапали 9606.91.руб.Сказать, что я была в шоке, это значит ничего не сказать. Итак, далее вижу , что 5000 тыс на счете, 77000 нужно внести. Итого с  долгом 82000. Внесла, проверяю ,все копейка в копейку, с суммой которая стоит к оплате. Утром захожу в приложение ииии... 5000 будьте добры внести еще. Написав в службу поддержки, мне все равно обосновали, что это мои косяки. Все понимаю, доказывать бесполезно,но большая просьба к руководству, очень тяжко сейчас, осталась без работы, но стараюсь соблюдать  все правила по договору. Прошу рассмотреть мою просьбу вернуть уплаченные проценты. Еще такой момент, мне раз 5 точно позвонили, и предложили дебетовую карту, но не один оператор не сказал, уважаемая, заплатите  долг. В Сбербанке всегда приходит смс на телефон, что завтра будет списан кредит в... nnn  сумме. Это очень удобно, и банку хорошо, и нам жить легче. Ситуации в жизни бывают разные, прошу не судить.; 29.01.2021 11:50
Новикомбанк;Неполадки с оплатой ЖКХ;5;Я пользуюсь зарплатной картой от банка Новиком. Также с ее помощью я оплачиваю коммунальные услуги. И 22 января, подошел день оплаты за услуги ЖКХ. Я всегда плачу этого числа. Я ввела все данные, сумму и провела платеж, но он так и не прошел. Я повторила свою покупку, но результат был тот же. Я сразу позвонила в колл-центр, менеджер попросила меня посмотреть в интернет банке причину отказа в оплате. Но перед этим она еще спросила, не совершала ли я в этот день нигде оплату картой. Я вспомнила, что в магазине платила за покупки картой. Тогда менеджер мне объяснила, что у меня превышен лимит платежей на сегодня, и поэтому я не могу отправить деньги за услуги. Все кончилось отлично – мне повысили лимит, и я успешно оплатила счета ЖКХ.; 29.01.2021 11:48
СберБанк;Благодарность менеджеру Непомнящей Юлии;5;"25 января у нас проходила сделка по адресу: город Новосибирск, Красный проспект, 46. Вела сделку ипотечный менеджер Непомнящая Юлия.Хотелось бы выразить ей от лица агентства недвижимости ""Алые паруса"" и клиента благодарность за профессиональное и чуткое отношение к делу.  Юлия была очень внимательна к клиенту и понятно  и доходчиво ответила на все его вопросы. Сделка прошла в очень доброжелательной атмосфере."; 29.01.2021 11:44
ВТБ;Опция Сбережения -обман года;1;Не ведитесь люди!!! Я не думала, что меня можно чем то удивить, ведь сама в прошлом банковский сотрудник. Но что творится сейчас в плане тарифов это просто треш. Открыла в ВТБ вклад Копилка, подключила опцию Сбережения... Сижу жду. А вот фиг вам. Оказывается, расчет по опции идет не на остаток ежедневный, как по основному вкладу, А на минимальный, то есть сколько бы бабла туда не закидывали в течении месяца,начислено будет на самый меньший остаток. Остальное пойдет в фонд банка. И ведь логично все. Не зря это опция. Чем сложнее и фильдеперсовее услуга и условия её  выполнения тем больше обмана, запомните.  И вы узнаете это только по факту, когда вас уже наЕ.... Ни при заключении договора, ни при попытке поиска информации в личном кабинете  и на сайте банка вы эту инфу не найдете.  Или найдете через полгода поиска, если нервы крепкие. Позорище! Сотрудники отделения, в которое я обратилась с вопросом проверить начисления попросили меня как я все узнаю, им рассказать:))) вы представляете?! Им интересно, ведь у них нет такой информации. А 70 %расчетов в одной сети? А постоянно следить за лимитов покупок по карте? Расчёт на то, что в нашей и без того замороченной жизни вы все равно где то ошибетесь. Фу. Противно господа банкиры. Вы ничем не лучше микрофинансовых бандитов. Вы и так платите копейки и те со скрипом. Не лопните смотрите.  Куда смотрит ЦБ не понятно. Это обман, неполное предоставление информации по услуге; 29.01.2021 11:43
ОТП Банк;Всё быстро и оперативно;5;Обращалась за информацией по имеющимся счетам, закрывала нулевые счета, получала выписки. Сотрудники быстро сориентировали, оперативно предоставили всю информацию. Был вопрос по старому счету, для решения  подключилась управляющая отделением, что меня, как клиента приятно удивило. Спасибо, есть с чем сравнить, не только в ОТП была в этот  день.; 29.01.2021 11:40
Почта Банк;АФЕРИСТЫ И МОШЕННИКИ!!!;1;30.11.2020 года, оформлял кредитсуммой 604 400 руб., из которых 500 000 руб. были средства,переведенные на мой счет, а 104 400 руб. – финансовая защита. Приоформлении кредита (адрес отделения: город Москва, улица Адмирала Лазарева, дом35, корпус 1) сотрудник банка (Бородин Вадим Вячеславович) ВВЕЛ МЕНЯ ВЗАБЛУЖДЕНИЕ, презентовал мне программу добровольного страхования жизниследующим образом: «страховая премия, уплаченная Страховщику, подлежит возвратув случае полного досрочного исполнения Застрахованным обязательств по договорупотребительского кредита. В таком случае, возможно получить возврат уплаченнойстраховой премии за вычетом части страховой премии, исчисляемой пропорциональновремени, в течение которого действовало страхование.» САМ СОТРУДНИК БЫНКАПОДТВЕРЖДАЕТ, ЧТО ИМЕННО ТАК И ПРЕЗНЕНТОВЫВАЛ МНЕ ДАННУЮ УСЛУГУ!!! Но данныйвозврат предусмотрен только по полису на сумму 18 000 руб., а по полису насумму 86 400 руб. не предусмотрен.                Из-запредоставления мне некорректной информации и введении меня в заблуждение (САМСОТРУДНИК БАНКА ЭТО ПОДВЕРЖДАЕТ!!!) мои финансовые потери составляю 81 600руб.: 86 400 (стоимость полиса) делим на 36 месяцев (срок действия полисаи кредита). Получаем 2 400 руб.  –стоимость одного месяца. Стоимость двух месяцев (столько я пользовалсякредитом) составляет 4 800 руб. 86 400 – 4 800 = 81 600руб. Тем самым я должен был вернуть от страховой 81 600 руб., но так каксотрудник банка ввел меня в заблуждение и предоставил мне некорректнуюинформацию (САМ СОТРУДНИК БАНКА ЭТО ПОДВЕРЖДАЕТ!!!), то я просто теряю этиденьги. Имеются аудио записи, которые подтверждают правоту моей точки зрения.Они направлены руководителю Бородина Вадима, территориальному менеджеру АлиевуГасану Ильчиновичу.                Отвратительное качество сервиса и наплевательское отношение кклиенту. Сотрудникбанка вводит в заблуждение и обманом продаёт продукты банка. Банк никак на это не реагирует, на все звонки иписьменные претензии дает формальные отписки. Никто не хочет разобраться в проблеме и установить истину.НИКОМУНЕ РЕКОМЕНДУЮ ПОЛЬЗОВАТЬСЯ УСЛУГАМИ ДАННОЙ ОРГАНИЗАЦИИ, ЕСЛИ НЕ ХОТИТЕ БЫТЬОБМАНУТЫМИ!!!; 29.01.2021 11:39
Транскапиталбанк;Удачно рефинансировала ипотеку;5;В ТКБ обратилась в январе 2021 чтобы рефинансировать ипотеку, которую брала в другом банке. 16.01. приехала в офис на ул. Воронцовская. Менеджер Юлия подробно рассказала об услуге, предоставила список необходимых документов. 23.01. нужно было привезти в офис пакет документов, я не успевала до конца дня, позвонила Юлии. Сотрудница предложила переслать копии ей на почту, а оригиналы привезти уже на оформление, так и сделали. Юлия прислала на почту копию договора, чтобы я могла заранее ознакомиться. Все оформили успешно.; 29.01.2021 11:37
